Name,CASRN,Chemical ID number,C-elegans_response_0.5_uM,C-elegans_response_1.0_uM,C-elegans_response_5.0_uM,C-elegans_response_10_uM,C-elegans_response_50_uM,C-elegans_response_100_uM,C-elegans_response_200_uM,C.elegans LEC by size,C.elegans Estimated top asymptote (Hill function),C.elegans Estimated slope (Hill function),C.elegans AC50 (Hill function),C.elegans Estimated bottom asymptote (Hill function),Zebrafish LECs based on Min. LEC of 18 endpoints (Truong et al. 2014),Zebrafish LECs for mortality (Truong et al. 2014),Zebrafish LECs based on Min. LEC of 17 sublethal endpoints (Truong et al. 2014),Zebrafish Toxicity score from Padilla et al. 2012 (Phase I only),Zebrafish AC10 from Padilla et al. 2012 (Phase I only),Zebrafish AC50 from Padilla et al. 2012 (Phase I only),MW,AC50 (mg/L)
Cyanamide,420-04-2,34490,5.907811788,5.955980234,6.01267374,5.998144534,5.963630192,6.014988741,5.920053598,> 200,5.990579356,24.17593079,207.1306002,5.711883537,0.0637,0.0637,> 64,1.25,NA,70.8,42.041,8.707977563
Urea,57-13-6,21426,5.826716379,5.732630489,5.786862239,5.695927106,5.768529676,5.860561541,5.743399358,> 200,5.995217938,2.92E-15,699.8111671,5.565999429,0.064,0.064,> 64,NA,NA,NA,60.056,42.02785945
Ethanolamine,141-43-5,22000,5.860733759,5.866098348,5.79193301,5.733596325,5.747739511,5.759291924,5.760932562,> 200,5.994744586,0.707386751,0.534302263,5.742505744,0.0064,> 64,0.0064,NA,NA,NA,61.084,0.032637319
Boric acid,10043-35-3,20194,6.060643329,6.069856787,6.080132855,6.132193271,6.135529064,6.184615214,5.954198751,> 200,6.001457091,0.894416138,0.898883486,6.119805173,> 64,> 64,> 64,0,30.9,60.7,61.83,0.055577966
Ethylene glycol,107-21-1,20597,5.790527793,5.774048519,5.77211726,5.776138656,5.720741601,5.634453588,5.647530732,100,5.996647876,0.152143521,1000,5.209845717,0.0643,0.0643,> 64,NA,NA,NA,62.068,62.068
Sodium azide,26628-22-8,20121,5.785775753,5.922626699,5.830920459,5.7636281,5.628395817,5.449857681,5.486811498,50,5.999907111,0.352008148,1000,4.462782096,0.0064,0.0064,> 64,NA,NA,NA,65.011,65.011
Sodium nitrite,7632-00-0,20941,5.999407628,6.023396334,6.051818548,6.030756522,6.083956721,6.042933833,5.752037614,> 200,6.019036725,19.6007376,213.0364157,4.82992591,> 64,> 64,> 64,NA,NA,NA,68.995,14.6984475
"1H-1,2,4-Triazole",288-88-0,27131,6.086245095,6.106377071,6.004263347,6.044956418,6.041499797,6.017107331,5.739003524,> 200,6.025786478,5.966938989,198.7421526,5.478462909,> 64,> 64,> 64,NA,NA,NA,69.067,13.72652425
Acrylamide,79-06-1,20027,5.996848662,5.680341634,5.688102089,5.7642152,5.886366849,5.757403926,5.653331386,200,5.998653782,24.25207888,0.559134562,5.731358444,> 64,> 64,> 64,NA,NA,NA,71.079,0.039742726
"N,N-Dimethylformamide",68-12-2,20515,5.864718563,5.922037554,5.875135897,5.835472613,6.015050148,5.793245789,5.777617021,> 200,5.996607359,0.164580398,999.9999999,5.599091449,> 64,> 64,> 64,NA,NA,NA,73.095,73.09499999
N-Methylacetamide,79-16-3,47167,6.086661091,6.095217526,6.073376747,6.020559353,6.030290069,6.068177875,5.839439631,> 200,6.0295193,22.36105323,225.1632841,3.138782308,> 64,> 64,> 64,NA,NA,NA,73.095,16.45831025
Methyl isothiocyanate,556-61-6,27204,6.136289033,6.374406284,6.061583194,6.023606475,5.958019004,6.022955072,5.061620015,200,6.038985119,5.807962279,224.3341506,3.135000007,> 64,> 64,> 64,40,0.497,2.96,73.11,16.40106975
Glycidol,556-52-5,20666,5.867019358,5.794137901,5.808249027,5.788939704,5.778514068,5.488214308,5.82502423,> 200,6.000427614,0.303467071,2.589243346,5.613662654,> 64,> 64,> 64,NA,NA,NA,74.079,0.191808558
Hydroxyurea,127-07-1,25438,5.995507363,5.972699424,5.918190151,5.928512996,5.752288741,5.632261651,5.727675211,> 200,5.997143298,1.409001181,17.90832021,5.670027613,0.0064,0.0064,> 64,NA,NA,NA,76.055,1.362017294
Methyl cellusolve,109-86-4,24182,5.86272951,5.939918711,6.084900456,6.066042939,5.994507821,6.029637095,6.058059525,> 200,5.970785232,24.99999904,2.224744788,6.041831567,0.064,0.064,0.64,1.5,NA,NA,76.095,0.169291955
Propylene glycol,57-55-6,21206,6.087859527,5.989798313,6.053714921,6.020192742,5.910605252,5.903625526,5.705089293,> 200,6.014777575,1.296840137,1000,3.135000008,0.0064,0.0064,> 64,NA,NA,NA,76.095,76.095
2-Chloroethanol,107-07-3,21877,5.9974651,5.90332244,5.917580673,5.817188509,5.909347816,5.948607102,5.826068151,> 200,6.001564573,13.4869398,0.904804214,5.876434953,> 64,> 64,> 64,NA,NA,NA,80.51,0.072845787
"4-Amino-4H-1,2,4-triazole",584-13-4,33058,5.814700373,5.848425268,5.832045584,5.799998452,5.573009698,5.781186449,5.361347559,200,5.997010065,0.344739693,1000,4.653498057,6.4,> 64,6.4,NA,NA,NA,84.082,84.082
Methacrylamide,79-39-0,29600,6.051624533,5.911256337,5.885367281,5.820974879,6.011983068,5.823097615,5.857777438,> 200,6.002395422,20.658773,0.951628543,5.880713065,> 64,> 64,> 64,NA,NA,NA,85.106,0.080989299
