"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gndbhnut  ","P",01/23/2018 10:42,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0020,<-4> [SBL] ,"","","","","",<-2> [GDM] (CSM) ,17.98,<0>  ,
"gndbhnut  ","P",01/23/2018 10:43,0,1,1         ,2         ,"",0.0020,<0>  ,0.0020,<0>  ,"","","","","",<-2> [GDM] (CSM) ,15.45,<0>  ,
"gndbhnut  ","P",02/16/2018 8:51,0,1,1         ,1         ,"",0.0030,<0>  ,0.029,<0>  ,"","","","","",<-2> [GDM] (CSM) ,4.07,<0>  ,
"gndbhnut  ","P",02/16/2018 8:52,0,1,1         ,2         ,"",0.0030,<0>  ,0.024,<0>  ,"","","","","",<-2> [GDM] (CSM) ,3.89,<0>  ,
"gndbhnut  ","P",03/30/2018 6:56,0,1,1         ,1         ,"",0.0020,<0>  ,0.188,<0> [SRD] ,"","","","",0.0040,<-3> [GSM] (CHB) ,3.53,<0>  ,
"gndbhnut  ","P",03/30/2018 6:57,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.129,<0> [SRD] ,"","","","",0.0030,<-3> [GSM] (CHB) ,4.05,<0>  ,
"gndbhnut  ","P",04/26/2018 5:38,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.012,<0>  ,"","","","",0.0030,<-3> [SBL] (CHB) ,6.4,<0>  ,
"gndbhnut  ","P",04/26/2018 5:39,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.013,<0>  ,"","","","",0.0030,<-3> [GSM] (CHB) ,5.95,<0>  ,
"gndbhnut  ","P",05/14/2018 14:18,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0030,<-3> [SBL] (CHB) ,7.04,<0>  ,
"gndbhnut  ","P",05/14/2018 14:19,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0030,<-3> [GSM] (CHB) ,8.1,<0>  ,
"gndbhnut  ","P",06/22/2018 14:35,0,1,1         ,1         ,"",0.0030,<0>  ,0.052,<0>  ,"","","","",0.0050,<1> [GSM] (CHB) ,22.04,<0>  ,
"gndbhnut  ","P",06/22/2018 14:36,0,1,1         ,2         ,"",0.0030,<0>  ,0.062,<0>  ,"","","","",0.0030,<-4> [SBL] (CHB) ,21.49,<0>  ,
"gndbhnut  ","P",07/19/2018 16:38,0,1,1         ,1         ,"",0.0040,<0>  ,0.15,<0>  ,"","","","",0.018,<1> [GSM] (CHB) ,4.0,<0>  ,
"gndbhnut  ","P",07/19/2018 16:39,0,1,1         ,2         ,"",0.0030,<0>  ,0.145,<0>  ,"","","","",0.014,<1> [GSM] (CHB) ,4.17,<0>  ,
"gndbhnut  ","P",08/22/2018 16:05,0,1,1         ,1         ,"",0.0030,<0>  ,0.0070,<0>  ,"","","","",0.0040,<0>  ,0.47,<0>  ,
"gndbhnut  ","P",08/22/2018 16:06,0,1,1         ,2         ,"",0.0030,<0>  ,0.0080,<0>  ,"","","","",0.0060,<0>  ,0.5,<0>  ,
"gndbhnut  ","P",09/12/2018 10:03,0,1,1         ,1         ,"",0.0090,<0>  ,0.012,<0>  ,"","","","",0.0070,<0>  ,2.11,<0>  ,
"gndbhnut  ","P",09/12/2018 10:04,0,1,1         ,2         ,"",0.01,<0>  ,0.013,<0>  ,"","","","",0.0050,<0>  ,2.21,<0>  ,
"gndbhnut  ","P",10/12/2018 10:43,0,1,1         ,1         ,"",0.0020,<0>  ,0.043,<0>  ,"","","","",0.0080,<0>  ,4.07,<0>  ,
"gndbhnut  ","P",10/12/2018 10:44,0,1,1         ,2         ,"",0.0030,<0>  ,0.049,<0>  ,"","","","",0.0090,<0>  ,4.6,<0>  ,
"gndbhnut  ","P",11/19/2018 11:06,0,1,1         ,1         ,"",0.0020,<0>  ,0.015,<0>  ,"","","","",0.0030,<0>  ,4.19,<0>  ,
"gndbhnut  ","P",11/19/2018 11:07,0,1,1         ,2         ,"",0.0020,<0>  ,0.015,<0>  ,"","","","",0.0050,<0>  ,4.27,<0>  ,
"gndbhnut  ","P",12/17/2018 11:36,0,1,1         ,1         ,"",0.0020,<0>  ,0.055,<0>  ,"","","","",0.0050,<0>  ,7.87,<0>  ,
"gndbhnut  ","P",12/17/2018 11:37,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.053,<0>  ,"","","","",0.0070,<0>  ,7.61,<0>  ,

